Address,Establishment Name,Code Description,Date Cited,Date Corrected,Status
"100 KIRKLAND ST
Cambridge, MA
(42.378057, -71.107425)",Broadsheet Coffee Roasters,Food Contact Surfaces Cleaned And Sanitized,07/31/2018 12:00:00 AM,08/08/2018 12:00:00 AM,Corrected
"79 Jfk St
Cambridge, MA
(42.370793, -71.121628)",Kennedy School,"Food Protection, Storage, Display, Transportation",10/25/2013 12:00:00 AM,11/01/2013 12:00:00 AM,Corrected
"1933 Massachusetts Ave
Cambridge, MA
(42.389559, -71.120096)",Sugar & Spice,Clean Equipment And Utensils Properly Stored,06/12/2018 12:00:00 AM,06/19/2018 12:00:00 AM,Corrected
"1432 Massachusetts Ave
Cambridge, MA
(42.374032, -71.118965)",Otto,"Fixtures Clean, Good Repair",10/11/2017 12:00:00 AM,10/30/2017 12:00:00 AM,Corrected
"272 Brookline St
Cambridge, MA
(42.357497, -71.107872)",Dimitrios Cuisine,Non-Food Contact Surfaces Clean,11/20/2018 12:00:00 AM,11/27/2018 12:00:00 AM,Corrected
"15 CAMBRIDGE CTR
Cambridge, MA
(42.365033, -71.087526)",Bailey and Sage,Test Kit Provided,11/03/2014 12:00:00 AM,11/10/2014 12:00:00 AM,Corrected
"8 Holyoke St
Cambridge, MA
(42.372744, -71.118126)",Sandrines,Good Hygienic Practices,06/06/2013 12:00:00 AM,06/13/2013 12:00:00 AM,Corrected
"784 Main St
Cambridge, MA
(42.363231, -71.096905)",Royal East Restaurant,"Separation, Segregation, No Cross Contamination",03/09/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Corrected
"907 Main St
Cambridge, MA
(42.363416, -71.099506)",Dumpling Room,"Food Protection, Storage, Display, Transportation",10/28/2013 12:00:00 AM,12/13/2013 12:00:00 AM,Corrected
"1575 Cambridge St
Cambridge, MA
(42.37457, -71.107458)",Youville Cambridge,Non-Food Contact Surfaces Clean,03/10/2015 12:00:00 AM,03/17/2015 12:00:00 AM,Corrected
"1 Bennett St
Cambridge, MA
(42.372618, -71.122767)",Benedettos,Good Hygienic Practices,03/22/2017 12:00:00 AM,03/29/2017 12:00:00 AM,Corrected
"84 Massachusetts Ave
Cambridge, MA
(42.359495, -71.094)",Anna's Taqueria,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",02/12/2018 12:00:00 AM,10/30/2018 12:00:00 AM,Corrected
"1667 Massachusetts Ave
Cambridge, MA
(42.382161, -71.119634)",Cambridge Common,"Insects, Rodents, Animals, Outer Openings",02/21/2018 12:00:00 AM,03/14/2018 12:00:00 AM,Corrected
"231 Alewife Brook Pkwy
Cambridge, MA
(42.388989, -71.143131)",Genkiya,"Cross Connection, Back Siphonage, Backflow",10/22/2014 12:00:00 AM,05/07/2019 06:00:31 AM,Corrected
"231 Alewife Brook Pkwy
Cambridge, MA
(42.388989, -71.143131)",Genki Ya,Non-Food Contact Surfaces Clean,09/25/2018 12:00:00 AM,09/26/2018 12:00:00 AM,Corrected
"1815 Massachusetts Ave
Cambridge, MA
(42.387126, -71.119111)",Shaking Crab,Facilities To Maintain Product Temperature,12/04/2017 12:00:00 AM,12/06/2017 12:00:00 AM,Corrected
"228 BROADWAY
Cambridge, MA
(42.366606, -71.094143)",Mulan,"Separation, Segregation, No Cross Contamination",12/10/2014 12:00:00 AM,05/07/2019 06:00:40 AM,Cited
"54 JFK ST
Cambridge, MA
(42.372008, -71.120652)",Boston Tea Stop,PIC Performing Duties,02/18/2016 12:00:00 AM,03/14/2016 12:00:00 AM,Corrected
